price(in Rs.),processor,ram,os,storage,display(in inch),rating,no_of_ratings,no_of_reviews,PriceCategory
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
49990,2,1,0,0,15.6,4.4,4733.0,463.0,2
33990,3,1,1,0,15.6,4.3,10406.0,1040.0,1
18990,4,2,2,2,14.0,3.8,18.0,3.0,0
86990,5,1,3,2,13.3,4.7,8865.0,795.0,2
23990,6,2,1,2,14.0,4.1,790.0,95.0,0
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
33999,1,1,1,0,15.6,4.0,112.0,8.0,1
38990,0,1,0,0,15.6,4.1,3955.0,462.0,1
26990,8,1,1,2,15.6,4.2,381.0,76.0,0
66990,9,0,1,0,14.0,5.0,4.0,0.0,2
37990,1,1,1,0,15.6,4.1,257.0,26.0,1
56990,10,0,0,0,15.6,4.1,137.0,18.0,2
39990,1,1,0,1,15.6,4.1,143.0,11.0,1
46990,1,1,4,2,14.0,4.4,12584.0,1870.0,2
37990,1,1,1,2,14.0,4.2,1779.0,160.0,1
49123,11,0,1,0,15.6,4.3,328.0,34.0,2
47990,11,1,1,0,15.6,4.4,2239.0,299.0,2
86500,9,3,1,0,14.0,4.4,9.0,0.0,2
86990,5,1,3,2,13.3,4.7,8865.0,795.0,2
44990,12,1,1,0,15.6,4.2,93.0,17.0,1
52990,0,1,1,0,15.6,4.3,68.0,7.0,2
38990,7,1,1,0,15.6,4.2,1911.0,208.0,1
33890,1,1,1,2,14.0,4.2,870.0,66.0,1
33990,3,1,0,0,14.0,4.4,19.0,0.0,1
26990,4,1,1,2,14.0,4.0,754.0,79.0,0
38500,1,1,1,0,15.6,4.3,453.0,38.0,1
45909,11,1,1,0,14.0,4.2,1979.0,202.0,2
49990,11,1,1,1,15.6,4.4,1233.0,149.0,2
40950,1,1,1,0,15.6,4.3,388.0,40.0,1
52890,0,0,0,0,15.6,4.5,14.0,1.0,2
99990,13,4,1,0,15.6,4.4,127.0,16.0,2
59990,13,0,1,0,15.6,4.5,870.0,105.0,2
58018,9,1,1,0,15.6,4.2,2011.0,167.0,2
38699,1,1,1,0,15.6,4.3,4658.0,449.0,1
32990,14,5,0,0,14.0,4.2,109.0,18.0,1
53990,11,1,1,0,14.0,4.2,128.0,21.0,2
64990,9,6,1,0,14.0,4.5,325.0,52.0,2
52990,0,1,1,0,15.6,4.2,280.0,21.0,2
